/usr/sbin/mysqld, Version: 8.0.27 (MySQL Community Server - GPL). started with:
Tcp port: 3306  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
2021-12-30T02:03:26.191962Z	 2396 Query	show variables like 'general_log_file'
2021-12-30T02:03:37.177994Z	 2396 Quit		
2021-12-30T05:40:44.415390Z	 8266 Connect	root@10.11.6.22 on qun22 using SSL/TLS
2021-12-30T05:40:44.415846Z	 8266 Query	/* mysql-connector-java-8.0.22 (Revision: d64b664fa93e81296a377de031b8123a67e6def2) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
2021-12-30T05:40:44.416207Z	 8266 Query	SET NAMES utf8mb4
2021-12-30T05:40:44.416345Z	 8266 Query	SET character_set_results = NULL
2021-12-30T05:40:44.416496Z	 8266 Query	SET autocommit=1
2021-12-30T05:40:44.416916Z	 8266 Quit	
2021-12-30T05:40:47.775728Z	 8267 Connect	root@10.11.6.22 on  using SSL/TLS
2021-12-30T05:40:47.778714Z	 8267 Query	/* mysql-connector-java-8.0.22 (Revision: d64b664fa93e81296a377de031b8123a67e6def2) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
2021-12-30T05:40:47.788429Z	 8267 Query	SET NAMES utf8mb4
